feature,importance
merchant_risk_score,0.124303706
transaction_velocity_1h,0.07420617
geographic_deviation,0.0678807
transaction_velocity_24h,0.06664509
behavioral_deviation,0.05278907
IP_risk_score,0.048712358
payment_channel_pos_chip,0.04817643
identity_risk_score,0.044663623
device_age_days,0.044351567
payment_channel_pos_contactless,0.041415375
payment_channel_api_gateway,0.031921577
payment_channel_e-commerce,0.029779708
device_change,0.026370421
payment_channel_p2p_transfer,0.022929251
failed_authentication_count,0.022300156
