soil_moisture,soil_temperature,air_temperature,air_humidity,wind_speed,wind_direction,irrigation_class,irrigation_label
56.5,12.0,13.2,88.5,0.5,204.3,0,NO IRRIGATION
50.9,24.4,26.4,46.1,9.6,235.8,1,LOW IRRIGATION
37.0,36.1,37.2,31.0,10.0,64.4,2,MEDIUM IRRIGATION
66.0,29.4,32.0,52.1,6.7,159.2,0,NO IRRIGATION
67.9,19.2,21.3,39.0,11.0,320.7,0,NO IRRIGATION
52.4,16.8,18.1,70.3,3.2,328.7,0,NO IRRIGATION
17.9,29.3,28.0,26.1,8.3,131.0,3,HIGH IRRIGATION
35.8,13.5,14.8,78.7,6.3,233.9,1,LOW IRRIGATION
76.1,22.0,24.0,79.6,7.2,252.5,0,NO IRRIGATION
15.3,30.1,33.7,36.6,12.5,201.8,3,HIGH IRRIGATION
52.8,29.4,29.5,50.1,3.2,115.0,1,LOW IRRIGATION
76.9,26.8,31.0,85.5,6.3,127.7,0,NO IRRIGATION
40.5,17.0,16.5,76.6,2.2,358.2,1,LOW IRRIGATION
48.6,22.0,23.5,76.8,3.6,64.9,0,NO IRRIGATION
25.7,27.2,28.9,38.0,2.5,1.6,2,MEDIUM IRRIGATION
63.2,17.8,18.7,72.6,2.8,89.8,0,NO IRRIGATION
31.7,40.5,42.7,40.5,3.3,138.3,2,MEDIUM IRRIGATION
19.4,38.4,38.3,24.8,21.7,198.3,3,HIGH IRRIGATION
71.5,26.0,28.9,88.0,11.0,161.8,0,NO IRRIGATION
80.0,21.4,25.0,83.1,16.0,196.2,0,NO IRRIGATION
30.0,38.1,38.0,19.8,16.0,133.5,3,HIGH IRRIGATION
16.6,31.4,30.8,24.6,12.7,265.9,3,HIGH IRRIGATION
63.3,21.5,23.2,50.9,3.6,158.7,0,NO IRRIGATION
26.6,37.0,36.6,11.3,18.3,94.6,3,HIGH IRRIGATION
67.9,20.2,22.1,57.1,4.0,273.7,0,NO IRRIGATION
20.1,34.6,36.0,26.3,30.8,201.9,3,HIGH IRRIGATION
27.4,30.7,31.7,37.1,23.5,74.8,3,HIGH IRRIGATION
77.9,15.0,16.0,90.0,3.9,2.7,0,NO IRRIGATION
37.2,17.1,19.2,81.4,8.8,186.7,1,LOW IRRIGATION
32.1,46.0,48.0,19.0,32.5,212.6,3,HIGH IRRIGATION
40.6,26.2,29.1,31.7,2.7,137.0,2,MEDIUM IRRIGATION
51.2,23.5,24.1,38.0,1.7,199.3,0,NO IRRIGATION
43.9,30.0,32.0,46.1,12.6,80.2,1,LOW IRRIGATION
41.5,27.5,29.3,62.0,4.2,281.1,1,LOW IRRIGATION
62.6,15.3,18.1,87.0,7.9,222.7,0,NO IRRIGATION
45.2,24.0,24.6,53.3,5.8,302.8,1,LOW IRRIGATION
65.2,21.4,23.8,80.0,9.6,285.0,0,NO IRRIGATION
27.4,30.0,31.2,28.7,7.4,335.1,2,MEDIUM IRRIGATION
27.0,25.4,24.7,46.9,3.2,200.6,2,MEDIUM IRRIGATION
66.7,17.8,17.0,76.9,4.0,289.4,0,NO IRRIGATION
47.7,18.6,19.3,85.7,7.0,216.4,1,LOW IRRIGATION
44.3,29.7,29.5,27.8,3.4,168.2,1,LOW IRRIGATION
79.3,15.3,18.9,86.0,20.6,17.2,0,NO IRRIGATION
12.7,25.7,27.9,27.4,9.0,276.4,3,HIGH IRRIGATION
28.6,42.3,40.6,13.0,19.8,131.3,3,HIGH IRRIGATION
29.6,28.5,32.4,17.8,14.4,9.0,2,MEDIUM IRRIGATION
38.8,27.1,30.3,47.7,1.0,328.0,1,LOW IRRIGATION
57.3,22.2,25.3,64.7,15.1,14.5,0,NO IRRIGATION
30.2,25.4,26.4,34.2,13.1,304.3,2,MEDIUM IRRIGATION
49.3,35.2,34.2,30.0,23.7,157.7,1,LOW IRRIGATION
36.7,26.7,28.1,58.3,7.9,218.8,1,LOW IRRIGATION
60.5,23.8,27.3,85.7,3.0,37.6,0,NO IRRIGATION
39.2,19.2,21.0,56.7,9.8,121.3,1,LOW IRRIGATION
88.4,20.4,21.9,88.9,19.0,187.3,0,NO IRRIGATION
34.4,28.6,31.2,52.8,5.5,200.8,2,MEDIUM IRRIGATION
63.5,20.8,22.6,84.0,8.9,72.0,0,NO IRRIGATION
58.6,23.4,24.9,53.1,3.8,115.6,0,NO IRRIGATION
23.1,43.1,40.8,18.9,17.1,159.3,3,HIGH IRRIGATION
37.6,22.9,24.6,56.1,8.3,330.3,1,LOW IRRIGATION
65.7,30.0,32.0,46.0,8.5,156.0,0,NO IRRIGATION
24.0,33.6,36.4,35.7,6.9,156.9,3,HIGH IRRIGATION
60.1,23.6,25.8,91.7,7.7,338.4,0,NO IRRIGATION
55.1,12.0,13.3,86.5,10.1,79.6,0,NO IRRIGATION
42.2,34.2,36.7,15.4,18.8,54.7,1,LOW IRRIGATION
37.7,31.0,33.5,38.3,10.8,160.5,2,MEDIUM IRRIGATION
60.8,20.6,22.6,97.3,9.7,65.0,0,NO IRRIGATION
35.8,26.6,26.2,38.0,1.0,49.1,1,LOW IRRIGATION
18.8,38.4,39.5,8.1,18.0,286.9,3,HIGH IRRIGATION
41.9,15.7,17.6,82.1,10.7,261.3,1,LOW IRRIGATION
61.3,24.5,26.7,67.4,9.2,124.6,0,NO IRRIGATION
42.2,20.5,22.3,71.8,2.2,205.0,1,LOW IRRIGATION
48.9,27.1,29.8,37.7,4.9,357.9,1,LOW IRRIGATION
66.7,24.1,25.7,67.6,6.0,334.9,0,NO IRRIGATION
51.7,20.3,22.2,65.4,1.6,312.6,0,NO IRRIGATION
48.4,23.0,26.1,58.3,2.2,353.0,1,LOW IRRIGATION
78.7,21.6,23.0,98.5,12.8,144.1,0,NO IRRIGATION
49.5,33.8,36.8,42.9,10.1,33.9,1,LOW IRRIGATION
41.3,20.8,24.0,69.1,5.0,177.5,1,LOW IRRIGATION
14.7,34.9,34.0,16.8,9.3,67.6,3,HIGH IRRIGATION
50.5,39.1,44.0,31.2,6.2,140.2,1,LOW IRRIGATION
25.9,35.0,36.8,26.4,6.0,291.5,2,MEDIUM IRRIGATION
19.0,32.3,35.7,29.3,5.6,348.1,3,HIGH IRRIGATION
69.4,16.0,16.0,80.5,6.0,181.0,0,NO IRRIGATION
62.0,26.9,28.1,56.2,8.2,169.5,0,NO IRRIGATION
68.5,17.1,16.8,87.5,4.9,116.2,0,NO IRRIGATION
